timestamp,acc_x,acc_y,acc_z,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z
1669997458.919852,-10.911,0.374,1.283,-0.0665,-0.22840000000000002,-0.0053,-0.052000000000000005,0.062,-0.005
1669997458.959852,-10.887,0.463,1.282,-0.0656,-0.2301,-0.0028,-0.047,0.046,0.01
1669997458.999852,-10.842,0.45,1.319,-0.0655,-0.2285,-0.0058000000000000005,-0.038,0.032,-0.012
1669997459.039852,-10.826,0.58,1.3880000000000001,-0.0661,-0.2305,-0.0051,0.025,0.04,0.0
1669997459.0798519,-10.987,0.606,1.425,-0.0636,-0.22790000000000002,-0.005200000000000001,0.088,0.078,-0.002
1669997459.119852,-10.931000000000001,0.5750000000000001,1.37,-0.06620000000000001,-0.2272,-0.007,0.105,0.093,-0.031
1669997459.159852,-10.950000000000001,0.35100000000000003,1.26,-0.0666,-0.22990000000000002,-0.009000000000000001,0.035,0.088,-0.044
1669997459.199852,-10.948,0.165,1.173,-0.0648,-0.22760000000000002,-0.0073,-0.054,0.07100000000000001,-0.01
1669997459.239852,-10.955,0.256,1.163,-0.0651,-0.22890000000000002,-0.0064,-0.121,0.055,0.02
1669997459.279852,-10.950000000000001,0.45,1.161,-0.06470000000000001,-0.22760000000000002,-0.0086,-0.08600000000000001,0.043000000000000003,0.024
1669997459.3198519,-10.865,0.541,1.241,-0.0634,-0.22640000000000002,-0.0053,-0.021,0.028,0.009000000000000001
1669997459.359852,-11.007,0.445,1.194,-0.0645,-0.22460000000000002,-0.0095,0.037,0.054,0.011
1669997459.399852,-10.958,0.365,1.173,-0.066,-0.2288,-0.008400000000000001,0.012,0.056,0.009000000000000001
1669997459.439852,-11.002,0.304,1.1,-0.0673,-0.2275,-0.0025,-0.029,0.047,0.01
1669997459.479852,-10.923,0.4,1.1400000000000001,-0.0654,-0.22740000000000002,-0.0076,-0.01,0.029,0.013000000000000001
1669997459.519852,-10.912,0.535,1.178,-0.0661,-0.2285,-0.0068000000000000005,0.026000000000000002,0.011,0.011
1669997459.559852,-10.975,0.44,1.122,-0.0664,-0.22790000000000002,-0.008400000000000001,0.021,0.006,0.001
1669997459.599852,-10.919,0.329,1.221,-0.06720000000000001,-0.22710000000000002,-0.0111,-0.013000000000000001,0.006,0.025
1669997459.639852,-10.945,0.482,1.2670000000000001,-0.06420000000000001,-0.2285,-0.0097,-0.03,0.018000000000000002,0.021
1669997459.679852,-10.957,0.393,1.249,-0.0648,-0.2295,0.0166,-0.024,0.041,0.006
1669997459.719852,-10.939,0.518,1.236,-0.0645,-0.2275,-0.027200000000000002,0.0,0.043000000000000003,0.009000000000000001
1669997459.759851,-10.927,0.509,1.227,-0.0641,-0.22840000000000002,-0.022500000000000003,0.016,0.034,0.023
1669997459.799851,-10.956,0.493,1.226,-0.0683,-0.2331,-0.0161,0.0,0.03,0.019
1669997459.839851,-10.952,0.379,1.233,-0.06670000000000001,-0.22840000000000002,0.0045000000000000005,0.0,0.029,0.002
1669997459.8798509,-10.927,0.547,1.245,-0.069,-0.2281,-0.0066,-0.049,0.01,0.001
1669997459.919851,-10.934000000000001,0.426,1.236,-0.06570000000000001,-0.2295,-0.0071,-0.043000000000000003,0.011,0.002
1669997459.959851,-10.92,0.399,1.2630000000000001,-0.0683,-0.2262,-0.0067,-0.03,0.014,-0.013000000000000001
1669997459.999851,-10.939,0.422,1.26,-0.0684,-0.22840000000000002,-0.005200000000000001,-0.014,0.017,-0.01
1669997460.039851,-11.013,0.456,1.21,-0.0654,-0.2321,-0.0028,0.0,0.023,0.007
1669997460.079851,-10.995000000000001,0.677,1.233,-0.0651,-0.2277,-0.0067,0.039,0.025,0.024
1669997460.1198509,-10.945,0.632,1.276,-0.0682,-0.22760000000000002,-0.0086,0.074,0.028,0.009000000000000001
1669997460.159851,-10.821,0.493,1.291,-0.065,-0.22820000000000001,-0.0097,0.092,0.013000000000000001,-0.045
1669997460.199851,-10.88,0.28400000000000003,1.296,-0.06570000000000001,-0.2277,-0.007200000000000001,0.059000000000000004,0.007,-0.058
1669997460.239851,-10.886000000000001,0.178,1.2730000000000001,-0.064,-0.2243,-0.0089,-0.032,0.022,-0.044
1669997460.279851,-10.953,0.169,1.231,-0.06470000000000001,-0.22790000000000002,-0.0073,-0.125,0.037,-0.017
1669997460.319851,-10.926,0.289,1.274,-0.0651,-0.22610000000000002,-0.0061,-0.147,0.038,-0.001
1669997460.359851,-10.909,0.305,1.293,-0.0646,-0.22440000000000002,-0.0059,-0.11800000000000001,0.029,0.018000000000000002
1669997460.399851,-10.812,0.386,1.295,-0.063,-0.22660000000000002,-0.0022,-0.065,0.026000000000000002,0.014
1669997460.439851,-10.948,0.378,1.317,-0.06720000000000001,-0.2252,-0.0046,0.008,0.018000000000000002,0.019
1669997460.479851,-10.961,0.384,1.304,-0.0646,-0.2245,-0.0043,0.036000000000000004,0.052000000000000005,0.041
1669997460.519851,-10.886000000000001,0.375,1.311,-0.069,-0.22760000000000002,-0.0044,0.028,0.035,0.043000000000000003
1669997460.559851,-10.866,0.36,1.337,-0.0649,-0.2268,-0.0049,0.015,0.004,0.01
1669997460.599851,-10.983,0.427,1.295,-0.0666,-0.22790000000000002,-0.0077,0.0,0.008,0.01
1669997460.639851,-10.981,0.428,1.321,-0.0653,-0.2285,-0.006200000000000001,-0.008,0.029,0.013000000000000001
1669997460.679851,-10.882,0.4,1.339,-0.0671,-0.22870000000000001,-0.0036000000000000003,-0.009000000000000001,0.025,0.008
1669997460.719851,-10.89,0.363,1.347,-0.066,-0.2268,-0.006,-0.028,0.015,-0.005
1669997460.759851,-10.893,0.448,1.424,-0.0656,-0.22660000000000002,-0.0036000000000000003,-0.022,0.012,0.008
1669997460.79985,-10.915000000000001,0.40800000000000003,1.418,-0.06420000000000001,-0.227,-0.0036000000000000003,-0.02,0.032,0.02
1669997460.83985,-10.835,0.405,1.479,-0.0668,-0.22410000000000002,-0.0045000000000000005,0.0,0.036000000000000004,0.003
1669997460.87985,-10.917,0.4,1.408,-0.06670000000000001,-0.228,-0.0034000000000000002,0.017,0.03,0.0
1669997460.9198499,-10.956,0.35000000000000003,1.377,-0.0653,-0.22660000000000002,-0.0043,0.009000000000000001,0.04,0.015
1669997460.95985,-10.897,0.384,1.338,-0.0651,-0.2242,-0.0054,0.0,0.046,0.025
1669997460.99985,-10.891,0.434,1.328,-0.067,-0.23020000000000002,-0.0048000000000000004,0.013000000000000001,0.041,0.016
1669997461.03985,-10.965,0.39,1.276,-0.06520000000000001,-0.227,-0.0061,-0.008,0.044,0.009000000000000001
1669997461.07985,-10.924,0.374,1.287,-0.0665,-0.22710000000000002,-0.004,-0.037,0.049,0.012
1669997461.11985,-10.893,0.364,1.2630000000000001,-0.0679,-0.2277,-0.0045000000000000005,-0.047,0.041,0.007
1669997461.15985,-10.963000000000001,0.465,1.2570000000000001,-0.0656,-0.2285,-0.004200000000000001,-0.032,0.044,0.02
1669997461.19985,-10.975,0.48,1.2690000000000001,-0.0675,-0.226,-0.0039000000000000003,-0.015,0.05,0.025
1669997461.23985,-10.883000000000001,0.436,1.28,-0.06420000000000001,-0.2268,-0.0045000000000000005,-0.012,0.026000000000000002,0.001
1669997461.27985,-10.856,0.307,1.337,-0.0659,-0.22660000000000002,-0.0053,-0.025,0.016,-0.001
1669997461.31985,-11.0,0.561,1.299,-0.0689,-0.2273,-0.0045000000000000005,0.005,0.031,0.005
1669997461.35985,-10.896,0.389,1.28,-0.0651,-0.22610000000000002,-0.0049,0.036000000000000004,0.032,-0.013000000000000001
1669997461.39985,-10.870000000000001,0.393,1.308,-0.0698,-0.2296,-0.0043,0.036000000000000004,0.025,-0.014
1669997461.43985,-10.907,0.337,1.303,-0.0631,-0.228,-0.0026000000000000003,-0.005,0.02,0.006
1669997461.47985,-10.926,0.356,1.33,-0.0675,-0.2281,-0.0076,-0.023,0.025,0.021
1669997461.51985,-10.923,0.417,1.322,-0.0645,-0.22690000000000002,-0.0051,-0.023,0.036000000000000004,0.01
1669997461.55985,-10.917,0.402,1.379,-0.0661,-0.22890000000000002,-0.0054,-0.021,0.033,0.002
1669997461.59985,-10.888,0.436,1.401,-0.0651,-0.22740000000000002,-0.0064,-0.032,0.037,0.004
1669997461.63985,-11.097,0.319,1.322,-0.0646,-0.2301,-0.006900000000000001,-0.021,0.075,-0.029
1669997461.67985,-10.966000000000001,0.495,1.391,-0.0664,-0.2291,-0.0051,0.045,0.069,-0.053
1669997461.71985,-10.726,0.462,1.346,-0.0659,-0.226,-0.0083,0.091,0.016,-0.049
